"","Watershed","Site.ID","Day","BStrm","BFresh","BSwamp","BImp","BSalt"
"1","Pawtuxet",6,11,5,6.59082483770282,10.6258378026536,12.1065452052762,0
"29","Pawtuxet",9,54,5,3.84513861780781,0,0,0
"49","Pawtuxet",10,54,5,9.97967329271475,0,0,0
"76","Pawtuxet",15,31,NA,0.580388154254042,0,17.1260083970408,0
"80","Pawtuxet",17,9,2,38.4087097036162,1.21555764601231,0,0
"110","Pawtuxet",18,18,NA,0,0,0,0
"112","Pawtuxet",19,18,NA,0,0,1.40221136055241,0
"114","Pawtuxet",20,9,NA,55.9804636863356,0,0,0
"123","Pawtuxet",22,65,NA,12.4750407141933,0,11.0205438471252,0
"127","Pawtuxet",28,103,1,24.0663175558634,0,0,0
"132","Pawtuxet",29,103,1,15.8844003062988,0,0,0
"141","Pawtuxet",33,110,NA,83.6288330958617,0,0,0
"155","Pawtuxet",34,110,NA,37.2336983529741,0,0,0
"165","Pawtuxet",70,109,4,70.8578328146069,0,6.84951505368313,0
"190","Pawtuxet",73,40,1,0,0,0.90847893894769,0
"192","Pawtuxet",75,109,NA,6.26925244555347,0,1.61900951842921,0
"196","Pawtuxet",77,24,2,0,1.48591078659991,18.9098082780748,0
"199","Pawtuxet",82,24,2,21.2023519300168,0,1.23415588306822,0
"203","Pawtuxet",84,24,NA,29.2895726229365,0,0,0
"207","Pawtuxet",89,65,NA,45.9876151002805,0,18.0754365262395,0
"211","Pawtuxet",90,59,NA,14.9387552503416,0,42.7224704174,0
"218","Pawtuxet",91,86,1,6.62311870178685,0,0,0
"227","Pawtuxet",92,103,NA,31.2947029190775,0,0,0
"231","Pawtuxet",93,103,NA,14.4518214503684,0,0,0
"235","Pawtuxet",94,103,NA,92.1019016792117,0,0,0
"239","Pawtuxet",95,103,NA,40.1336892062392,0,0,0
"245","Pawtuxet",99,26,NA,19.1236645384985,0,61.1042488444582,0
"256","Pawtuxet",100,33,NA,3.69265722172023,0,18.7559702816703,0
"278","Narragansett Bay",103,39,NA,0,1.28622177313186,0,9.94209286660636
"280","Narragansett Bay",107,12,NA,0,0,9.31601826776816,8.87559985210595
"284","Narragansett Bay",108,32,NA,2.4273731630451,0,0,0
"286","Narragansett Bay",111,34,NA,0,0,42.2368783783304,10.5020558321781
"288","Narragansett Bay",114,39,NA,0,0,5.1811244075953,7.84255212857803
"290","Narragansett Bay",115,12,NA,0,0,0,15.104622687445
"294","Narragansett Bay",116,25,2,29.2613497475913,2.55590507543122,3.29846617811205,0
"307","Narragansett Bay",120,5,NA,94.7939538146589,4.66984233449605,0,0
"317","Narragansett Bay",121,4,NA,91.226463175304,2.27652680443633,0,0
"328","Narragansett Bay",122,5,2,0,2.00883815934229,1.92039228331509,0
"330","Narragansett Bay",123,13,NA,9.92907864268954,2.78133429838662,3.09551765611442,0
"335","Narragansett Bay",125,13,4,0,0,6.65362289271932,0
"337","Narragansett Bay",127,5,3,0,0,17.0047383891564,0
"339","Narragansett Bay",129,46,NA,19.0662215749065,0,0.819065857170332,0
"341","Narragansett Bay",134,93,1,0,0,21.5892318154835,3.61475561031813
"343","Narragansett Bay",148,9,2,0,0,0,0
"345","Narragansett Bay",149,9,2,0,0,0,0
"347","Narragansett Bay",151,9,1,0,0,0,0
"349","Narragansett Bay",153,23,1,0,0,0,0
"351","Narragansett Bay",162,9,NA,32.4440302479365,0,0,0
"364","Narragansett Bay",167,44,3,2.64845066881283,38.3751360561667,0,0
"369","Narragansett Bay",168,30,NA,0,10.8689496648884,10.7274076483363,0
"371","Narragansett Bay",175,10,NA,1.70444619877612,0,0,0
"373","Narragansett Bay",176,23,4,1.58558572365782,0,3.15866149687525,0
"377","Narragansett Bay",187,94,NA,0,0,3.62596527278083,9.73019781031747
"379","Narragansett Bay",189,81,1,0,0,0,12.1658079533455
"381","Narragansett Bay",199,19,2,0,0,0,0
"385","Narragansett Bay",200,19,1,0,0,0,0
"389","Pawtuxet",202,45,2,0,41.6459861098673,2.16234817485268,0
"396","Pawtuxet",203,45,NA,0,1.48706707088284,2.19457045677897,0
"400","Pawtuxet",205,61,1,0,0,0,0
"404","Pawtuxet",206,61,4,5.02780907366718,0,0,0
"424","Pawtuxet",207,61,4,0,0,1.26873441194837,0
"436","Pawtuxet",208,80,4,7.43004466520391,0,0,0
"456","Pawtuxet",209,37,3,0,0,0.118133180586387,0
"460","Pawtuxet",210,37,1,0,0,2.21412307892649,0
"464","Pawtuxet",212,52,1,2.2012659230392,5.04483207357013,0,0
"485","Pawtuxet",215,52,NA,56.2323476617765,0,0,0
"518","Pawtuxet",217,45,NA,10.3010418851834,3.54362368486618,0,0
"524","Pawtuxet",224,38,1,12.3214005417327,10.9374728377719,0,0
"538","Pawtuxet",226,37,NA,9.28751500709544,0,21.7237732515045,0
"542","Pawtuxet",227,82,1,3.59967705905152,0,0,0
"547","Pawtuxet",228,86,2,8.8198496767108,0,0,0
"552","Pawtuxet",229,38,3,12.7239366757388,0,0.616474012073014,0
"579","Pawtuxet",231,38,NA,4.29848533256442,6.10374246334584,0,0
"592","Pawtuxet",232,62,2,1.38890837173625,0,8.65774580648417,0
"596","Pawtuxet",233,62,2,7.08507832247903,0,6.27049558698964,0
"600","Pawtuxet",237,40,2,0,0,8.23679505927344,0
"602","Pawtuxet",246,40,NA,6.56817188238964,0,0.852630294579883,0
"607","Pawtuxet",249,59,1,8.17844611291895,0,6.07126005523406,0
"614","Pawtuxet",250,40,3,5.31629527328004,0,0,0
"618","Narragansett Bay",256,58,2,0,0,10.8700424269344,0
"620","Narragansett Bay",257,58,NA,0,0,13.8327275907043,6.25176772501735
"624","Narragansett Bay",258,58,1,0,0,11.467088080049,25.0196558772969
"628","Narragansett Bay",260,93,1,0,3.66213523308214,19.8456128712964,4.32958163605695
"635","Narragansett Bay",270,93,NA,0,0,0.646461468600632,18.6329310910643
"640","Narragansett Bay",294,68,4,0,0,18.2812841391139,0
"653","Narragansett Bay",295,94,1,11.0226381678223,0,0.880790177306781,0
"660","Narragansett Bay",296,94,NA,6.97012839057497,0,0,0.202778252219994
"667","Narragansett Bay",297,66,NA,20.281837078948,0,0,0
"673","Pawtuxet",301,87,1,0,0,0,0
"675","Pawtuxet",302,87,4,4.24926491129937,0,0,0
"709","Narragansett Bay",303,88,1,0.73988098006835,1.81071901530353,12.4001776758847,0
"713","Narragansett Bay",304,88,NA,0,0,0,12.548932170241
"717","Pawtuxet",305,89,NA,9.63431211795263,0,0,0
"742","Pawtuxet",306,89,NA,8.72354507851484,0,0,0
"754","Pawcatuck",2197,349,4,0.738617518,16.52240473,0,0
"761","BIS",792,350,NA,0,0,6.85928759162612,75.9103831210171
"763","BIS",799,350,NA,0,0,11.8514192665565,5.99153723789684
"775","Pawcatuck",183,12,4,0,68.98323874,0,0
"786","Pawcatuck",727,18,3,0,0,0,0
"788","Pawcatuck",728,18,3,0,0,0,0
"791","Pawcatuck",748,18,1,17.95605227,0,0.107124677,0
"803","Pawcatuck",195,19,NA,4.140978838,0,0,0
"815","Quinebaug",6221,21,4,6.08676540912312,0,0,0
"843","Quinebaug",6824,21,1,29.8608265206969,0,3.88258313325835,0
"849","Pawcatuck",1079,25,NA,1.525085588,0,0,0
"855","Pawcatuck",1113,25,4,0,0,0.720310277,0
"859","Pawcatuck",897,26,3,2.274452286,0,0,0
"867","Pawcatuck",1945,26,NA,3.499257628,0,0.013017867,0
"879","Pawcatuck",1800,32,1,0,82.98918796,4.341246927,0
"893","Pawcatuck",1236,33,NA,0.062367966,0,7.40318155,0
"899","Pawcatuck",1664,33,1,3.658407157,0,23.13125853,0
"916","Pawcatuck",2051,35,3,0,0,5.116479403,0
"939","Pawcatuck",2512,35,3,0,0,0,0
"941","Pawcatuck",1517,39,NA,0,0,0,0
"948","Pawcatuck",1519,39,NA,0,0,0,0
"957","Pawcatuck",4556,40,NA,0,0,0,0
"959","Quinebaug",5761,41,4,7.88970779427315,20.207751852055,0,0
