Pelt tag #,Date of harvest,Sex,Weight (lbs),Location/waterbody,Town,Watershed,HarvestType
159,12/15/1997,unk,43,Pawcatuck River,Westerly,Pawcatuck,Public
160,12/14/1997,unk,26,Pawcatuck River,Westerly,Pawcatuck,Public
161,12/16/1997,M,59,Wood River,Hopkinton,Pawcatuck,Public
162,12/18/1997,M,39,Mount Tom Marsh,Exeter,Pawcatuck,Public
163,12/18/1997,F,31,Mount Tom Marsh,Exeter,Pawcatuck,Public
164,12/18/1997,M,49,Wood River,Hopkinton,Pawcatuck,Public
165,12/18/1997,M,39,Wood River,Hopkinton,Pawcatuck,Public
166,12/18/1997,F,32,Wood River,Hopkinton,Pawcatuck,Public
167,12/18/1997,F,31,Wood River,Hopkinton,Pawcatuck,Public
168,12/9/1997,unk,37,Hudson Pond,West Greenwich,Pawcatuck,Public
169,12/9/1997,unk,39,Bradley Pond,West Greenwich,Pawcatuck,Public
170,12/11/1997,unk,35,Bradley Pond,West Greenwich,Pawcatuck,Public
171,12/14/1997,unk,35,Hudson Pond,West Greenwich,Pawcatuck,Public
172,12/15/1997,unk,40,Hudson Pond,West Greenwich,Pawcatuck,Public
173,12/26/1997,M,58,Newton Swamp,Westerly,Pawcatuck,Public
174,12/30/1997,F,43,Newton Swamp,Westerly,Pawcatuck,Public
175,12/28/1997,unk,41,Carbuncle Pond,Coventry,Quinebaug,Public
176,12/28/1997,unk,40,Carbuncle Pond,Coventry,Quinebaug,Public
177,12/28/1997,unk,28,Carbuncle Pond,Coventry,Quinebaug,Public
178,1/7/1998,unk,17,Newton Swamp,Westerly,Pawcatuck,Public
179,1/7/1998,unk,22,Newton Swamp,Westerly,Pawcatuck,Public
180,1/24/1998,unk,22,Pawcatuck River,Westerly,Pawcatuck,Public
181,1/25/1998,unk,36,Pawcatuck River,Westerly,Pawcatuck,Public
182,1/26/1998,M,28,Moosup River,Coventry,Quinebaug,Public
183,1/8/1998,M,34,Carbuncle Pond,Coventry,Quinebaug,Public
184,1/7/1998,M,49,Moosup River,Coventry,Quinebaug,Public
185,1/16/1998,M,33,Moosup River,Coventry,Quinebaug,Public
186,1/16/1998,M,38,Moosup River,Coventry,Quinebaug,Public
187,1/16/1998,unk,33,Roaring Brook,Coventry,Quinebaug,Public
188,1/17/1998,M,41,Moosup River,Foster,Quinebaug,Public
189,1/17/1998,F,36,Roaring Brook,Coventry,Quinebaug,Public
190,1/26/1998,unk,36,Roaring Brook,Coventry,Quinebaug,Public
191,1/26/1998,unk,35,Roaring Brook,Coventry,Quinebaug,Public
192,1/17/1998,unk,16,Moosup River,Coventry,Quinebaug,Public
193,1/17/1998,unk,15,Roaring Brook,Coventry,Quinebaug,Public
194,1/17/1998,unk,12,Roaring Brook,Coventry,Quinebaug,Public
195,1/30/1998,M,22,Canob Pond,Richmond,Pawcatuck,Public
196,1/30/1998,F,22,Canob Pond,Richmond,Pawcatuck,Public
197,1/30/1998,M,50,New London Turnpike,Richmond,Pawcatuck,Public
198,1/30/1998,F,22,Breakheart Pond,West Greenwich,Pawcatuck,Public
199,1/30/1998,M,26,New London Turnpike,Richmond,Pawcatuck,Public
200,1/30/1998,M,40,New London Turnpike,Richmond,Pawcatuck,Public
201,1/30/1998,unk,20,Canob Pond,Richmond,Pawcatuck,Public
202,1/30/1998,M,16,Wood River,Hopkinton,Pawcatuck,Public
203,1/30/1998,F,33,Breakheart Pond,West Greenwich,Pawcatuck,Public
204,1/30/1998,M,18,Breakheart Pond,West Greenwich,Pawcatuck,Public
205,1/30/1998,M,31,New London Turnpike,Richmond,Pawcatuck,Public
206,1/30/1998,unk,14,Wood River,Hopkinton,Pawcatuck,Public
207,1/30/1998,unk,12,Wood River,Hopkinton,Pawcatuck,Public
208,1/30/1998,unk,13,Wood River,Hopkinton,Pawcatuck,Public
209,1/30/1998,F,22,Wood River,Hopkinton,Pawcatuck,Public
