Town,1990,2000,2010
Barrington,15849,16819,16310
Bristol,21625,22469,22954
Warren,11385,11360,10611
Coventry,31083,33668,35014
East Greenwich,11865,12948,13146
Warwick,85427,85808,82672
West Greenwich,3492,5085,6135
West Warwick,29268,29581,29191
Jamestown,4999,5622,5405
Little Compton,3339,3593,3492
Middletown,19460,17334,16150
Newport,28227,26475,24672
Portsmouth,16857,17149,17389
Tiverton,14312,15260,15780
Burrillville,16230,15796,15955
Central Falls,17637,18928,19376
Cranston,76060,79269,80387
Cumberland,29038,31840,33506
East Providence,50380,48688,47037
Foster,4316,4274,4606
Glocester,9227,9948,9746
Johnston,26542,28195,28769
Lincoln,18045,20898,21105
North Providence,32090,32411,32078
North Smithfield,10497,10618,11967
Pawtucket,72644,72958,71148
Providence,160728,173618,178042
Scituate,9796,10324,10329
Smithfield,19163,20613,21430
Woonsocket,43877,43224,41186
Charlestown,6478,7859,7827
Exeter,5461,6045,6425
Hopkinton,6873,7836,8188
Narragansett,14985,16361,15868
New Shoreham,836,1010,1051
North Kingstown,23786,26326,26486
Richmond,5351,7222,7708
South Kingstown,24631,27921,30639
Westerly,21605,22966,22787
