"","WATERSH","last","prsnt_l","kmu","LCD"
"2","Blackstone",2007-11-27,1,1672,4
"4","Blackstone",1999-11-02,NA,1379,1
"5","Blackstone",1999-11-02,NA,1379,1
"8","Quinebaug",2000-03-08,NA,697,1
"9","Quinebaug",2000-03-08,NA,795,1
"10","Quinebaug",1999-12-23,NA,799,1
"11","Blackstone",2007-11-28,0,2552,4
"12","Blackstone",2002-10-31,1,2650,1
"15","Blackstone",2003-02-06,1,1968,2
"17","Blackstone",2001-07-06,NA,1874,1
"18","Blackstone",2001-07-18,NA,2746,1
"19","Blackstone",2002-10-31,0,2746,1
"20","Blackstone",2001-07-18,NA,2747,1
"21","Blackstone",2001-04-19,NA,2452,1
"22","Blackstone",2007-11-28,0,2550,4
"23","Blackstone",2007-11-28,1,2551,4
"24","Pawtuxet",2000-05-28,NA,1100,1
"25","Pawtuxet",2000-05-28,NA,1100,1
"26","Quinebaug",1999-11-29,NA,1010,1
"27","Quinebaug",2004-11-04,1,1010,2
"28","Quinebaug",2004-11-04,0,1011,2
"29","Pawtuxet",1999-05-30,NA,1197,1
"30","Pawtuxet",1999-05-30,NA,1197,1
"31","Pawtuxet",2001-03-23,NA,1200,1
"32","Pawtuxet",2003-12-19,1,1395,2
"33","Pawtuxet",1999-06-13,NA,1395,1
"34","Pawtuxet",2000-03-23,NA,1494,1
"35","Pawtuxet",2000-11-30,NA,1300,1
"36","Pawtuxet",2003-12-04,1,1398,2
"37","Pawtuxet",2003-12-04,1,1593,2
"38","Quinebaug",2000-04-14,NA,919,1
"39","Quinebaug",2000-04-14,NA,919,1
"40","Quinebaug",2004-11-30,1,1110,2
"41","Quinebaug",2000-11-19,NA,920,1
"42","Quinebaug",2004-11-18,0,920,2
"43","Quinebaug",2004-11-23,0,922,2
"44","Quinebaug",2004-11-23,0,1019,2
"45","Blackstone",2002-10-17,NA,1186,1
"46","Blackstone",2007-10-25,1,1087,4
"47","Ten Mile",2000-04-12,NA,NA,1
"48","Ten Mile",2000-04-12,NA,NA,1
"49","Ten Mile",2000-04-12,NA,NA,1
"50","Ten Mile",2000-04-12,NA,NA,1
"51","Ten Mile",2000-04-12,NA,NA,1
"52","Ten Mile",2003-04-28,1,NA,2
"53","Ten Mile",2000-04-07,NA,NA,1
"54","Ten Mile",2000-04-07,NA,NA,1
"55","Ten Mile",2000-04-07,NA,NA,1
"56","Ten Mile",2000-04-07,NA,NA,1
"57","Ten Mile",2000-04-07,NA,NA,1
"58","Ten Mile",2000-04-07,NA,NA,1
"59","Ten Mile",2000-04-07,NA,NA,1
"60","Ten Mile",2000-04-07,NA,NA,1
"61","Ten Mile",2000-04-07,NA,NA,1
"62","Ten Mile",2000-04-07,NA,NA,1
"63","Ten Mile",2000-04-05,NA,NA,1
"64","Ten Mile",2000-04-05,NA,NA,1
"65","Ten Mile",2000-04-05,NA,NA,1
"66","Ten Mile",2000-04-05,NA,NA,1
"67","Ten Mile",2000-04-05,NA,NA,1
"68","Blackstone",2007-10-16,1,1473,4
"69","Blackstone",2002-10-25,NA,1472,1
"70","Blackstone",2002-10-25,NA,1379,1
"71","Narragansett Bay",2001-05-01,NA,NA,1
"72","Narragansett Bay",2001-05-01,NA,NA,1
"73","Narragansett Bay",2000-05-09,NA,4142,1
"74","Warren River",2000-02-05,NA,NA,1
"75","Warren River",2000-04-05,NA,NA,1
"76","Warren River",2002-12-01,0,NA,1
"77","Warren River",2000-04-05,NA,NA,1
"78","Warren River",2005-05-06,0,NA,2
"79","Warren River",2005-05-06,1,NA,2
"80","Warren River",2000-05-03,NA,NA,1
"81","Warren River",2000-05-03,NA,NA,1
"82","Warren River",2007-05-01,1,NA,3
"83","Blackstone",2002-10-29,NA,1586,1
"84","Blackstone",2002-10-29,NA,1586,1
"85","Blackstone",2007-11-28,0,2454,4
"86","Blackstone",2002-10-31,NA,2454,1
"87","Woonasquatucket",2002-04-13,NA,3254,1
"88","Woonasquatucket",2002-04-13,NA,3352,1
"89","Pawtuxet",2002-04-23,NA,3264,1
"90","Pawtuxet",2002-04-23,NA,3362,1
"91","Pawtuxet",2001-03-29,NA,3656,1
"92","Pawtuxet",2001-03-29,NA,3656,1
"95","Narragansett Bay",2000-04-19,NA,NA,1
"96","Narragansett Bay",2000-04-19,NA,NA,1
"97","Narragansett Bay",2006-01-25,1,NA,3
"98","Narragansett Bay",2007-05-01,1,NA,3
"99","Narragansett Bay",2003-04-29,0,NA,2
"100","Narragansett Bay",2007-05-01,0,NA,3
"101","Narragansett Bay",2002-04-29,1,NA,1
"102","Saugatucket",2001-07-18,NA,3299,1
"103","Pawcatuck",2002-01-25,NA,1026,1
"104","Pawcatuck",2007-01-23,0,930,3
"105","Pawcatuck",2007-01-23,1,1030,3
"106","Hunt",2000-12-05,NA,3279,1
"107","Narragansett Bay",2000-03-13,NA,3476,1
"108","Coastal",2002-05-07,NA,3486,1
"109","Coastal",2002-05-07,NA,3584,1
"110","Narragansett Bay",2000-05-17,NA,NA,1
"111","Narragansett Bay",2000-05-17,NA,NA,1
"112","Narragansett Bay",1999-12-29,NA,NA,1
"113","Narragansett Bay",2007-05-03,0,NA,3
"114","Pawtuxet",2003-12-01,1,2481,2
"115","Pawtuxet",2003-12-01,1,2581,2
"116","Pawtuxet",2000-06-01,NA,2581,1
"117","Pawtuxet",2003-12-01,1,2679,2
"118","Pawtuxet",2000-05-04,NA,2778,1
"119","Pawtuxet",2000-05-04,NA,2876,1
"120","Pawtuxet",2000-05-04,NA,2876,1
"121","Pawtuxet",2000-03-24,NA,3073,1
"122","Pawtuxet",2000-03-24,NA,3073,1
"123","Pawtuxet",2003-12-23,1,3073,2
"124","Pawtuxet",2000-03-24,NA,3073,1
"125","Pawtuxet",2000-03-24,NA,3073,1
"126","Pawtuxet",2003-12-23,1,3073,2
"127","Pawtuxet",2000-03-24,NA,3073,1
"128","Pawtuxet",2000-03-24,NA,3171,1
"129","Pawtuxet",2003-12-23,1,3171,2
"130","Pawtuxet",2003-12-23,1,3073,2
"131","Pawtuxet",2003-12-23,1,3073,2
"132","Pawtuxet",2000-03-28,NA,2976,1
"133","Pawtuxet",2003-12-23,1,2976,2
"134","Pawtuxet",2003-12-23,0,2977,2
"135","Pawtuxet",2003-12-23,1,2977,2
"136","Pawtuxet",2000-03-27,NA,2977,1
"137","Pawtuxet",2000-03-27,NA,2977,1
"138","Pawtuxet",2000-03-27,NA,2978,1
"139","Pawtuxet",2000-03-27,NA,2978,1
