Information and diagnostics 
=========================== 
Total iter:                       31000 
Burn-in:                          11000 
Thin:                             1 
Num chains:                       4 
Max Rhat:                         2.91 
Min n.eff:                        5810 


Model summary 
============= 
                    mean        sd        2.5%          50%      97.5% Rhat n.eff
lambda.0     0.802680650 0.9859193 -1.27342918  0.907691200  2.5595476 1.42  8374
lambdaStrm   0.696844541 0.2816582  0.19089918  0.679650457  1.2947290 1.19 22600
lambdaWet    0.029012629 0.1191507 -0.23041559  0.038243809  0.2405733 1.12 23872
lambdaSalt  -1.041748417 0.9736419 -3.20395600 -0.816298116  0.3426648 1.98 23136
lambdaUrb    0.357372604 0.1101600  0.14747273  0.355252610  0.5771334 1.14 14868
lambdaWat    0.214286901 0.1282250 -0.06642814  0.223914223  0.4429706 1.07 23099
lambda.Time  1.222988703 1.8964141 -0.21952175 -0.035547210  6.2030304 1.90 13459
alpha.int.L -3.177317947 1.8968780 -7.21444410 -3.079253823  0.3561841 1.03 14926
alpha.int.R  0.088133231 1.2257237 -1.44954187 -0.169778133  3.5888417 1.09  7928
alphalaunch -0.112013738 1.1680497 -2.50313211 -0.082133608  2.1547621 1.00 40415
alphaSalt   -0.236031055 1.7425657 -3.81857834 -0.207247696  3.1887561 1.00 40705
alphaStrm   -1.551657816 1.6511390 -5.17325314 -1.429537195  1.3857742 1.00 25144
alphabeav    0.004535874 1.8194930 -3.69264527  0.007285250  3.6677767 1.00 45505
alpharoads   0.411766861 1.1171268 -2.09280946  0.594600106  2.2825768 1.04 30675
alpharoadp   2.895360010 1.3654084  0.65483006  2.735360801  6.0235085 1.01 16399
p.0         -2.440014332 0.6419549 -3.48205643 -2.526497893 -1.3129372 2.91  5810
alpha1       0.064900199 0.5127758 -1.00443541  0.084777298  1.0173888 1.01 35681
alpha2       1.351293624 0.4639241  0.55316560  1.309872417  2.3383684 1.42 11773
alpha3       0.641700651 0.4837263 -0.29399647  0.634060525  1.6201189 1.05 22614
alpha4       0.480391022 0.2939376 -0.07278221  0.470300951  1.0892094 1.01 10186
alpha5      -0.715510748 0.6193372 -2.03112744 -0.681576048  0.3929352 1.02 34144
alpha6      -0.954329190 0.7691095 -2.64746814 -0.892436599  0.3793513 1.04 26198
alpha7       0.279245090 0.2156959 -0.17305329  0.290056185  0.6780278 1.14 11506
alpha8       0.161072531 0.1586651 -0.18139681  0.175286051  0.4351433 1.28 19520
alpha9       0.297772081 0.1792834 -0.07024665  0.303682421  0.6345011 1.04 14152
alpha10      0.152737740 0.1640685 -0.17408812  0.154270662  0.4726905 1.02 28727
alpha11      0.274941924 0.1683440 -0.05804524  0.274806749  0.6063077 1.01 23786
alpha12      0.004352936 0.1884630 -0.33832563 -0.007554247  0.4184695 1.13 19784
alpha13     -0.260393952 0.3576449 -0.96778542 -0.261261861  0.4464833 1.01  8742
p.rsrv.0     1.060654415 0.3116900  0.51270334  1.039393282  1.7405191 1.06 25105
