"","Watershed","Site.ID","Date","Observer","Start.Time","End.time","Spp","snow","Mode","Water","Wetland","Built","UpGrass","Shrub","Forest","Temp","cloudcover","Precip","TTD","YMax","Day","BStrm","BFresh","BSwamp","BImp","BSalt","BForest","km"
"1","Pawtuxet",6,"2022-01-12","John Crockett","2022-01-12 11:08:00","2022-01-12 11:48:00",NA,"Y","kayak",0,0.975,0,0,0,0.025,0.2,46,0,NA,40,11,5,6.59082483770282,10.6258378026536,12.1065452052762,0,4.35005932275718,2297
"2","Pawtuxet",6,"2022-01-12","Justin Moore","2022-01-12 11:13:00","2022-01-12 11:50:00",NA,"N","kayak",0,0.972972972972973,0,0,0,0.027027027027027,0.2,46,0,NA,37,11,5,6.59082483770282,10.6258378026536,12.1065452052762,0,4.35005932275718,2297
"4","Pawtuxet",6,"2022-06-29","Jess Burr","2022-06-29 10:40:00","2022-06-29 11:26:00",NA,"N","kayak",0,1,0,0,0,0,23.6,32,0,NA,46,179,5,6.59082483770282,10.6258378026536,12.1065452052762,0,4.35005932275718,2297
"6","Pawtuxet",6,"2022-06-29","John Crockett","2022-06-29 10:42:00","2022-06-29 11:19:00",NA,"N","kayak",0,1,0,0,0,0,23.6,32,0,NA,37,179,5,6.59082483770282,10.6258378026536,12.1065452052762,0,4.35005932275718,2297
"8","Pawtuxet",9,"2022-02-24","Justin Moore","2022-02-24 12:29:00","2022-02-24 13:10:00",NA,"N","kayak",0,0,0,0,0,1,-1,89,0,NA,41,54,5,3.84513861780781,0,0,0,19.3258579632473,2201
"12","Pawtuxet",9,"2022-02-24","John Crockett","2022-02-24 12:28:00","2022-02-24 13:12:00",NA,"N","kayak",0,0,0,0,0,1,-1,89,0,NA,44,54,5,3.84513861780781,0,0,0,19.3258579632473,2201
"15","Pawtuxet",9,"2022-06-29","Jess Burr","2022-06-29 12:43:00","2022-06-29 13:00:00",NA,"N","kayak",0,0,0,0,0,1,25.5,47,0,NA,17,179,5,3.84513861780781,0,0,0,19.3258579632473,2201
"17","Pawtuxet",9,"2022-06-29","John Crockett","2022-06-29 12:43:00","2022-06-29 13:01:00",NA,"N","kayak",0,0,0,0,0,1,25.5,47,0,NA,18,179,5,3.84513861780781,0,0,0,19.3258579632473,2201
"19","Pawtuxet",10,"2022-02-24","Justin Moore","2022-02-24 11:11:00","2022-02-24 12:09:00",NA,"N","kayak",0,0.689655172413793,0,0,0,0.310344827586207,-1.4,85,0,NA,58,54,5,9.97967329271475,0,0,0,23.7091370029868,2200
"20","Pawtuxet",10,"2022-02-24","John Crockett","2022-02-24 11:11:00","2022-02-24 12:06:00",NA,"N","kayak",0,0.890909090909091,0,0,0,0.109090909090909,-1.4,85,0,NA,55,54,5,9.97967329271475,0,0,0,23.7091370029868,2200
"21","Pawtuxet",10,"2022-06-29","Jess Burr","2022-06-29 11:50:00","2022-06-29 12:23:00",NA,"N","kayak",0,0.96969696969697,0,0,0,0.0303030303030303,24.9,42,0,NA,33,179,5,9.97967329271475,0,0,0,23.7091370029868,2200
"23","Pawtuxet",10,"2022-06-29","John Crockett","2022-06-29 11:52:00","2022-06-29 12:16:00",NA,"N","kayak",0,0.958333333333333,0,0,0,0.0416666666666667,24.9,42,0,NA,24,179,5,9.97967329271475,0,0,0,23.7091370029868,2200
"25","Pawtuxet",15,"2022-02-01","Justin Moore","2022-02-01 11:45:00","2022-02-01 12:07:00",NA,"Y","foot",0.0909090909090909,0,0.0454545454545455,0,0,0.863636363636364,-5.8,77,0,NA,22,31,0,0.580388154254042,0,17.1260083970408,0,0,2294
