"","Watershed","Site.ID","Observer","Spp","Day","SurveyTime","TTD"
"1","Block Island Sound",34,"John Crockett","otter",97,35,21
"2","Block Island Sound",34,"John Crockett","other",97,35,30
"3","Block Island Sound",34,"Amy Mayer","0",97,43,NA
"4","Block Island Sound",46,"John Crockett","0",97,17,NA
"5","Block Island Sound",46,"Amy Mayer","0",97,17,NA
"6","Block Island Sound",55,"John Crockett","other",97,13,4
"7","Block Island Sound",55,"John Crockett","otter",97,13,6
"8","Block Island Sound",55,"Amy Mayer","0",97,14,NA
"9","Block Island Sound",61,"John Crockett","otter",93,56,6
"10","Block Island Sound",61,"Kylie Rezendes","otter",93,61,11
"11","Block Island Sound",65,"John Crockett","other",93,29,14
"12","Block Island Sound",65,"Kylie Rezendes","0",93,49,NA
"13","Block Island Sound",115,"John Crockett","other",97,34,16
"14","Block Island Sound",115,"Amy Mayer","0",97,36,NA
"15","Block Island Sound",203,"John Crockett","0",97,33,NA
"16","Block Island Sound",203,"Amy Mayer","otter",97,33,13
"17","Block Island Sound",236,"John Crockett","other",97,53,5
"18","Block Island Sound",236,"Amy Mayer","0",97,38,NA
"19","Block Island Sound",272,"Richard Mercer","0",85,54,NA
"20","Block Island Sound",272,"Amy Mayer","0",85,60,NA
"21","Block Island Sound",291,"Richard Mercer","0",85,20,NA
"22","Block Island Sound",291,"Amy Mayer","0",85,20,NA
"23","Block Island Sound",353,"John Crockett","muskrat",87,39,31
"24","Block Island Sound",353,"John Crockett","0",76,21,NA
"25","Block Island Sound",353,"Amy Mayer","0",76,21,NA
"26","Block Island Sound",353,"Amy Mayer","muskrat",87,43,8
"27","Block Island Sound",353,"Amy Mayer","otter",87,43,29
"28","Block Island Sound",353,"Amy Mayer","other",87,43,40
"29","Block Island Sound",358,"John Crockett","0",87,41,NA
"30","Block Island Sound",358,"Amy Mayer","muskrat",87,43,9
"31","Block Island Sound",498,"Richard Mercer","0",78,21,NA
"32","Block Island Sound",498,"Amy Mayer","0",78,25,NA
"33","Block Island Sound",652,"Richard Mercer","0",78,49,NA
"34","Block Island Sound",652,"Amy Mayer","0",78,50,NA
"35","Block Island Sound",792,"John Crockett","0",1,68,NA
"36","Block Island Sound",792,"Emerson Paton","0",1,75,NA
"37","Block Island Sound",799,"John Crockett","0",1,26,NA
"38","Block Island Sound",799,"Emerson Paton","0",1,28,NA
"39","Block Island Sound",852,"John Crockett","muskrat",92,34,20
"40","Block Island Sound",852,"Emma Paton","muskrat",92,34,8
"41","Block Island Sound",852,"Emma Paton","other",92,34,16
"42","Block Island Sound",859,"John Crockett","otter",92,41,29
"43","Block Island Sound",859,"Emma Paton","0",92,44,NA
"44","Block Island Sound",889,"Richard Mercer","0",78,49,NA
"45","Block Island Sound",889,"Amy Mayer","0",78,50,NA
"46","Block Island Sound",905,"John Crockett","other",92,62,4
"47","Block Island Sound",905,"John Crockett","otter",92,62,17
"48","Block Island Sound",905,"John Crockett","muskrat",92,62,22
"49","Block Island Sound",905,"Emma Paton","muskrat",92,64,34
"50","Block Island Sound",914,"John Crockett","0",92,11,NA
"51","Block Island Sound",914,"Emma Paton","0",92,12,NA
"52","Block Island Sound",1229,"Richard Mercer","0",78,21,NA
"53","Block Island Sound",1229,"Amy Mayer","0",78,22,NA
"54","Pawcatuck",9,"John Crockett","muskrat",85,61,17
"55","Pawcatuck",9,"John Crockett","otter",85,61,28
"56","Pawcatuck",9,"Emma Paton","muskrat",85,69,18
"57","Pawcatuck",42,"John Crockett","otter",91,29,11
"58","Pawcatuck",42,"John Crockett","muskrat",91,29,24
"59","Pawcatuck",42,"Kylie Rezendes","0",91,32,NA
"60","Pawcatuck",43,"John Crockett","0",91,25,NA
"61","Pawcatuck",43,"Kylie Rezendes","muskrat",91,25,17
"62","Pawcatuck",45,"John Crockett","otter",91,25,25
"63","Pawcatuck",45,"Kylie Rezendes","other",91,27,8
"64","Pawcatuck",183,"Kylie Rezendes","beaver",29,61,5
"65","Pawcatuck",183,"Kylie Rezendes","other",29,61,22
"66","Pawcatuck",183,"John Crockett","beaver",29,60,3
"67","Pawcatuck",183,"John Crockett","other",29,60,6
"68","Pawcatuck",183,"John Crockett","muskrat",29,60,55
"69","Pawcatuck",195,"John Crockett","otter",36,62,2
"70","Pawcatuck",195,"John Crockett","beaver",36,62,9
"71","Pawcatuck",195,"John Crockett","other",36,62,17
"72","Pawcatuck",195,"Kylie Rezendes","beaver",36,57,6
"73","Pawcatuck",195,"Kylie Rezendes","otter",36,57,20
"74","Pawcatuck",195,"Kylie Rezendes","other",36,57,54
"75","Pawcatuck",256,"John Crockett","muskrat",100,98,1
"76","Pawcatuck",256,"John Crockett","beaver",100,98,4
"77","Pawcatuck",256,"John Crockett","otter",100,98,35
"78","Pawcatuck",256,"Kylie Rezendes","beaver",100,100,8
